Name,Review URL,District,District ID,Category ID,Category Name,Price UI,Address,Review Count,Smile,Cry,Overall Score,Bookmark Count,Latitude,longitude
深宵食堂,/en/hongkong/r-%E6%B7%B1%E5%AE%B5%E9%A3%9F%E5%A0%82-causeway-bay-japanese-skewer-r175101/reviews,Causeway Bay,1019,"[2009, 1072, 1033, 1035]","[Japanese, Skewer, Izakaya, Skewer]",$201-400,"6/F, Bartlock Centre, Yiu Wa Street",300,258.0,12.0,3.8092980000000005,8462,22.277682199999997,114.18218329999999
Bingo & Cook,/en/hongkong/r-bingo-cook-causeway-bay-korean-korean-fried-chicken-r465359/reviews,Causeway Bay,1019,"[2001, 1085]","[Korean, Korean Fried Chicken]",$101-200,"2/F, L'Hart, 487-489 Lockhart Road",308,267.0,8.0,3.970957,9571,22.280763916399998,114.18276697399999
Grill ขุนทอง,/en/hongkong/r-grill-%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%97%E0%B8%AD%E0%B8%87-central-thai-meatless-menu-r459298/reviews,Central,1003,"[2004, 1072, 1002, 1073, 1035]","[Thai, Skewer, Takeaway, Meatless Menu, Skewer]",Below $50,"G/F, 17-19 D'Aguilar Street, Lan Kwai Fong",300,281.0,2.0,4.019031,5392,22.281336399999997,114.15545630000001
16 Shell,/en/hongkong/r-16-shell-tin-hau-italian-r440622/reviews,Tin Hau,1026,"[3006, 1006, 1008]","[Italian, Western Restaurant, Coffee Shop]",$101-200,"Shop B, G/F, Po Wing Building, 6-16 Shell Street, Fortress Hill",314,281.0,7.0,3.816447,6040,22.287001999999998,114.192176
Fujiyama 55 (ramen.tsukemen) 富士山55 (拉麵沾麵專門店),/en/hongkong/r-fujiyama-55-ramen-tsukemen-causeway-bay-japanese-ramen-r432688/reviews,Causeway Bay,1019,"[2009, 1005]","[Japanese, Ramen]",$51-100,"Shop 1, G/F., Progress Commercial Building, 9 Irving Street",293,250.0,10.0,3.785937,12313,22.2788437291,114.18640404899999
S2 Kitchen,/en/hongkong/r-s2-kitchen-central-japanese-sushi-sashimi-r460408/reviews,Central,1003,"[2009, 1034, 1033, 1072]","[Japanese, Sushi/Sashimi, Izakaya, Skewer]",$201-400,"Shop A, G/F, 51 Wellington Street",373,310.0,25.0,3.8064970000000002,11063,22.282626,114.1550159
Zenon Café,/en/hongkong/r-zenon-cafe-central-western-salad-r441426/reviews,Central,1003,"[4000, 1026, 1008, 1075, 1081, 1203]","[Western, Sandwich, Coffee Shop, All Day Breakfast, Salad, Cake]",$51-100,"G/F, 86 Wellington Street",253,217.0,5.0,4.021632,6046,22.2828033,114.1545466
Social Place 唐宮小聚,/en/hongkong/r-social-place-central-guangdong-dim-sum-r185054/reviews,Central,1003,"[1002, 1036, 1001]","[Guangdong, Dim Sum, Stir-Fry]",$101-200,"2/F, The L. Place, 139 Queen's Road Central",228,155.0,10.0,3.838596,18509,22.2845605,114.15406999999999
Van Gogh Kitchen 凡高廚房,/en/hongkong/r-van-gogh-kitchen-causeway-bay-western-r25429/reviews,Causeway Bay,1019,"[3006, 1006, 4000]","[Italian, Western Restaurant, Western]",$201-400,"2B Shing Wah Mansion, 451-457 Hennessy Road",407,357.0,18.0,4.029336,6016,22.279857,114.181895
豊勝手丼,/en/hongkong/r-%E8%B1%8A%E5%8B%9D%E6%89%8B%E4%B8%BC-causeway-bay-japanese-sushi-sashimi-r504942/reviews,Causeway Bay,1019,"[2009, 1034, 1033]","[Japanese, Sushi/Sashimi, Izakaya]",$101-200,"Shop D, G/F, Always Centre, 468 Jaffe Road",250,224.0,3.0,4.079508000000001,8836,22.2807101667,114.18197304
Tararan-ya 鱈卵屋,/en/hongkong/r-tararan-ya-causeway-bay-japanese-udon-r166413/reviews,Causeway Bay,1019,"[2009, 1034, 1037]","[Japanese, Sushi/Sashimi, Udon]",$201-400,"14/F, Circle Plaza, No. 499 Hennessy Road",274,246.0,5.0,4.027099,6868,22.2803,114.18305
DK Cuppa Tea,/en/hongkong/r-dk-cuppa-tea-sheung-wan-western-r446636/reviews,Sheung Wan,1001,"[4000, 1008]","[Western, Coffee Shop]",$201-400,"G/F, 19 New Market Street",430,362.0,5.0,3.98835,8139,22.287276100000003,114.1499832
ICHIRAN 天然豚骨拉麵專門店一蘭,/en/hongkong/r-ichiran-causeway-bay-japanese-ramen-r140523/reviews,Causeway Bay,1019,"[2009, 1005]","[Japanese, Ramen]",$51-100,"Shop F-I, G/F, Lockhart House, Block A, 440 Jaffe Road",611,346.0,48.0,3.675,24032,22.2803134681,114.181120098
Espuma,/en/hongkong/r-espuma-wan-chai-international-dessert-r448363/reviews,Wan Chai,1022,"[3011, 1014, 1008, 6000]","[Spanish, Dessert, Coffee Shop, International]",$101-200,"25/F, QRE Plaza, 202 Queen Road East",340,282.0,13.0,3.7945309999999997,8435,22.2749726117,114.172209799
Ming Bistro 名館,/en/hongkong/r-ming-bistro-causeway-bay-international-dim-sum-r478614/reviews,Causeway Bay,1019,"[1002, 1036, 1001, 1011, 6000]","[Guangdong, Dim Sum, Stir-Fry, Shanghai, International]",$101-200,"Shop 1401, 14/F, Hysan Place, 500 Hennessy Road",264,227.0,6.0,3.9777339999999994,8594,22.279889069099998,114.18360099700001
Volcano Grill 火山燒,/en/hongkong/r-volcano-grill-causeway-bay-japanese-all-you-can-eat-r453033/reviews,Causeway Bay,1019,"[2009, 1072, 1035, 1076]","[Japanese, Skewer, Skewer, All-you-can-eat]",$201-400,"9-10/F,  The L. Square, 459-461 Lockhart Road",455,351.0,43.0,3.61869,15940,22.2804101,114.1822298
Yuan Is Here 阿元來了,/en/hongkong/r-yuan-is-here-western-district-taiwan-taiwanese-drink-r433525/reviews,Western District,1008,"[1009, 1006, 1015, 1010]","[Taiwan, Taiwanese Drink, Snack Shop & Deli, Noodles/Rice Noodles]",$51-100,"G/F, 73 Third Street, Sai Ying Pun",277,158.0,17.0,3.6265910000000003,16604,22.28572,114.1419183
Love Cafe 心之食堂,/en/hongkong/r-love-cafe-causeway-bay-japanese-sushi-sashimi-r511427/reviews,Causeway Bay,1019,"[2009, 1034, 1033, 6000, 1072]","[Japanese, Sushi/Sashimi, Izakaya, International, Skewer]",$201-400,"Room 1203, 12/F, Bartlock Centre, 3 Yiu Wa Street",279,253.0,3.0,3.9422379999999997,3043,22.2777035,114.18217849999999
Coffee Alley 咖啡弄,/en/hongkong/r-coffee-alley-causeway-bay-western-r120973/reviews,Causeway Bay,1019,"[4000, 1008]","[Western, Coffee Shop]",$101-200,"Room B1-B3, 1/F, Dragon Rise, 9-11 Pennington Street",561,351.0,31.0,3.77587,19042,22.278845999999998,114.18592199999999
Harvest House Sushi 家賀屋刺身寿司專門店,/en/hongkong/r-harvest-house-sushi-wan-chai-japanese-sushi-sashimi-r488893/reviews,Wan Chai,1022,"[2009, 1034]","[Japanese, Sushi/Sashimi]",$101-200,"1/F, 83 Wan Chai Road",257,231.0,3.0,4.06506,7739,22.276355399999996,114.174877
Shari Shari Kakigori House 氷屋,/en/hongkong/r-shari-shari-kakigori-house-%E6%B0%B7%E5%B1%8B-causeway-bay-japanese-ice-cream-yogurt-r473159/reviews,Causeway Bay,1019,"[2009, 1014, 1015]","[Japanese, Dessert, Ice Cream/yogurt]",$51-100,"G/F, 14 Haven Street",194,151.0,2.0,4.047407,10917,22.277978,114.1866836
Mr. Steak Buffet à la minute,/en/hongkong/r-mr-steak-buffet-a-la-minute-causeway-bay-international-buffet-r179934/reviews,Causeway Bay,1019,"[6000, 1032, 1003]","[International, Buffet, Steak House]",$401-800,"6/F, World Trade Center, 280 Gloucester Road",221,143.0,18.0,3.807286,21884,22.2816465,114.18412450000001
Seoul House 首爾家韓國料理,/en/hongkong/r-seoul-house-causeway-bay-korean-korean-fried-chicken-r161639/reviews,Causeway Bay,1019,"[2001, 1025, 1085]","[Korean, Roast Meat, Korean Fried Chicken]",$101-200,"1/F, Hotel Pennington, 13-15 Pennington Street",230,191.0,7.0,3.865158,5299,22.278550855,114.186070114
Y Pasta,/en/hongkong/r-y-pasta-causeway-bay-western-r478416/reviews,Causeway Bay,1019,"[4000, 1006]","[Western, Western Restaurant]",$101-200,"14/F, The L. Square, 459-461 Lockhart Road",264,221.0,16.0,3.857587,4572,22.2801857,114.18164070000002
Bistronomique,/en/hongkong/r-bistronomique-western-district-french-r431998/reviews,Western District,1008,"[3010, 1006]","[French, Western Restaurant]",$201-400,"Shop 1, G/F, Grand Fortune Mansion, 1 Davis Street",202,184.0,4.0,4.141538,7038,22.2836816,114.12681909999999
Glasshouse,/en/hongkong/r-glasshouse-central-western-r166040/reviews,Central,1003,"[4000, 1006, 6000]","[Western, Western Restaurant, International]",$101-200,"Shop 4009, Level 4, IFC, 1 Harbour View Street,",246,159.0,14.0,3.7318379999999998,16534,22.2846638546,114.158045053
Kamameshi 奈良上釜,/en/hongkong/r-kamameshi-causeway-bay-japanese-r514912/reviews,Causeway Bay,1019,[2009],[Japanese],$101-200,"G/F, 39 Tang Lung Street",213,163.0,12.0,3.7502459999999997,12708,22.2791575,114.18241850000001
LA Creperie,/en/hongkong/r-la-creperie-causeway-bay-french-meatless-menu-r449118/reviews,Causeway Bay,1019,"[3010, 1014, 1073]","[French, Dessert, Meatless Menu]",$101-200,"8/F, The L. Square, 459-461 Lockhart Road",172,128.0,5.0,3.970967,14747,22.2801963,114.1816652
Rang Mahal Authentic Indian Cuisine,/en/hongkong/r-rang-mahal-authentic-indian-cuisine-central-indian-r153355/reviews,Central,1003,[2006],[Indian],$101-200,"2/F, 118 Queen's Queen Road",202,179.0,4.0,3.874358,3693,22.283712,114.15466699999999
Running Chicken Deluxe 米走雞Deluxe,/en/hongkong/r-running-chicken-deluxe-causeway-bay-hong-kong-style-chicken-hot-pot-r504576/reviews,Causeway Bay,1019,"[1004, 1001, 6000, 1074]","[Hong Kong Style, Hot Pot, International, Chicken Hot Pot]",$101-200,"3/F, Jardine Centre, 50 Jardine's Bazaar",186,169.0,7.0,4.043243,4284,22.279408,114.1856449
Soi 18 Thai Cuisine 18巷泰國餐廳,/en/hongkong/r-soi-18-thai-cuisine-causeway-bay-thai-curry-r176221/reviews,Causeway Bay,1019,"[2004, 1033, 1035, 1072]","[Thai, Curry, Skewer, Skewer]",$101-200,"Shop 1302B, 13/F, World Trade Centre, 280 Gloucester Road",237,196.0,12.0,3.8770919999999998,7462,22.281655999999998,114.184096
Bilibala Yakitori Bar,/en/hongkong/r-bilibala-yakitori-bar-causeway-bay-japanese-skewer-r179689/reviews,Causeway Bay,1019,"[2009, 1072, 1010]","[Japanese, Skewer, Bar]",$201-400,"G/F, Lei Wen Court, 23 Haven Street",191,181.0,2.0,4.009258999999999,4421,22.2775135,114.1869902
Flame Japanese Cuisine 焱丸水產,/en/hongkong/r-flame-japanese-cuisine-causeway-bay-japanese-seafood-r513201/reviews,Causeway Bay,1019,"[2009, 1009, 1034]","[Japanese, Seafood, Sushi/Sashimi]",$201-400,"Shop C2, G/F, Lockhart House Block B, 440 Jaffe Road, Causeway Bay",191,177.0,3.0,4.1652629999999995,5026,22.2804521,114.18152649999999
Chau Kee 周記點心,/en/hongkong/r-chau-kee-western-district-hong-kong-style-dim-sum-r440685/reviews,Western District,1008,"[1002, 1036, 1009, 1004]","[Guangdong, Dim Sum, Tea Restaurant, Hong Kong Style]",Below $50,"Shop H1, G/F, Tung Lee Mansion, Water Street, Sai Ying Pun",168,132.0,1.0,3.79625,13008,22.2869415,114.13875549999999
Odelice!,/en/hongkong/r-odelice-wan-chai-french-r160508/reviews,Wan Chai,1022,[3010],[French],$101-200,"Shop 9, 2 Landale Street",220,157.0,11.0,3.810975,15529,22.277133633400002,114.16933581200001
Lo Spazio,/en/hongkong/r-lo-spazio-causeway-bay-american-salad-r492592/reviews,Causeway Bay,1019,"[3006, 1009, 4001, 1081]","[Italian, Seafood, American, Salad]",$201-400,"7/F, Henry House, 42 Yun Ping Road",203,181.0,4.0,4.074484,4953,22.279241,114.18463799999999
Sabor Spanish Touch Private Kitchen,/en/hongkong/r-sabor-spanish-touch-private-kitchen-sheung-wan-spanish-r82264/reviews,Sheung Wan,1001,"[3011, 1023]","[Spanish, Private Kitchen]",$201-400,"Rm 601, 6/F, Cheung's Building, 1-3 Wing Lok Street",226,208.0,5.0,4.052534,6544,22.2856754645,114.15387851
Tulsi & Wine,/en/hongkong/r-tulsi-wine-western-district-indian-curry-r188600/reviews,Western District,1008,"[2006, 1008, 6000, 1022, 1033]","[Indian, Wine, International, Pizza, Curry]",$101-200,"G/F, 10-11 The Bonham Mansion, 63 Bonham Road, Sai Ying Pun",266,248.0,1.0,3.905273,6390,22.2844188,114.14083400000001
AGE Cuisine Express,/en/hongkong/r-age-cuisine-express-quarry-bay-international-pizza-r61705/reviews,Quarry Bay,1014,"[6000, 1022]","[International, Pizza]",$101-200,"Room 1104B, Eastern Centre, 1065 King's Road",232,197.0,8.0,3.818859,3591,22.285064000000002,114.21416
Sun Thai Restaurant 新泰東南亞餐廳,/en/hongkong/r-sun-thai-restaurant-wan-chai-singaporean-curry-r481589/reviews,Wan Chai,1022,"[2004, 1009, 2005, 1033, 1072]","[Thai, Seafood, Singaporean, Curry, Skewer]",$101-200,"Shop 3, G/F, 20 Luard Road",189,174.0,1.0,4.045161,3845,22.2787091,114.17194099999999
La Vache!,/en/hongkong/r-la-vache-central-french-r155310/reviews,Central,1003,"[3010, 1003]","[French, Steak House]",$201-400,"G/F, 48 Peel Street, Soho",213,135.0,16.0,3.8731949999999995,20918,22.282447,114.152717
Leisurely Veggie 悠蔬食,/en/hongkong/r-leisurely-veggie-causeway-bay-international-meatless-menu-r435789/reviews,Causeway Bay,1019,"[6000, 1011, 1008, 1014, 1073]","[International, Vegetarian, Coffee Shop, Dessert, Meatless Menu]",$101-200,"25/F, Jardine Center, 50 Jardine's Bazaar",163,131.0,3.0,3.9950330000000003,9756,22.279408,114.185645
Sashi Japanese Yakiniku Restaurant 尚鮮日式燒肉漁市場,/en/hongkong/r-sashi-japanese-yakiniku-restaurant-causeway-bay-japanese-buffet-r490191/reviews,Causeway Bay,1019,"[2009, 1032, 1072]","[Japanese, Buffet, Skewer]",$201-400,"3/F, Richmond Plaza, 496 Jaffe Road",275,216.0,11.0,3.852131,9493,22.280929399999998,114.18300009999999
Mini Club,/en/hongkong/r-mini-club-causeway-bay-western-wine-r456843/reviews,Causeway Bay,1019,"[4000, 1008, 1006, 1009, 1010, 1032]","[Western, Wine, Western Restaurant, Seafood, Bar, Oyster Bar]",$201-400,"1/F, L' HART, 487-489 Lockhart Road",248,220.0,6.0,3.8345830000000003,7765,22.2807349862,114.182804525
Cafe 2 Oyster n Grill,/en/hongkong/r-cafe-2-oyster-n-grill-western-district-western-all-day-breakfast-r448491/reviews,Western District,1008,"[4000, 1075, 1008, 8, 6000]","[Western, All Day Breakfast, Coffee Shop, Private Party, International]",$101-200,"Shop C&D, G/F, 371-379 Queen's Road",205,191.0,6.0,4.003015,4696,22.2867999678,114.139286061
BAKE Cheese Tart,/en/hongkong/r-bake-cheese-tart-causeway-bay-western-dessert-r460266/reviews,Causeway Bay,1019,"[2009, 1003, 1015, 4000, 1014]","[Japanese, Bakery, Snack Shop & Deli, Western, Dessert]",Below $50,"Shop 10, B2/F, Sogo, 555 Hennessy Road",323,210.0,13.0,3.681475,8125,22.2804197785,114.184244871
Bistro Seoul 首首.韓式小館,/en/hongkong/r-bistro-seoul-wan-chai-korean-r504189/reviews,Wan Chai,1022,[2001],[Korean],$201-400,"Shop G22-23, G/F, Lee Tung Avenue, 200 Queen’s Road East",209,181.0,15.0,3.925365,2646,22.275825606999998,114.172467291
Superdon スーパー丼,/en/hongkong/r-superdon-causeway-bay-japanese-sushi-sashimi-r524870/reviews,Causeway Bay,1019,"[2009, 1034]","[Japanese, Sushi/Sashimi]",$101-200,"G/F, 501 Lockhart Road",226,184.0,10.0,3.9013690000000003,7348,22.2806426,114.183071
The Grand Buffet 自助山,/en/hongkong/r-the-grand-buffet-wan-chai-international-buffet-r436598/reviews,Wan Chai,1022,"[6000, 1032]","[International, Buffet]",$401-800,"62/F, Hopewell Centre, 183 Queen's Road East",194,101.0,20.0,3.803714,14733,22.274756699999998,114.17191229999999
九重鮮,/en/hongkong/r-%E4%B9%9D%E9%87%8D%E9%AE%AE-tai-hang-korean-hot-pot-r450100/reviews,Tai Hang,1025,"[2001, 1001, 1009, 1018, 1204]","[Korean, Hot Pot, Seafood, Congee, Steam Hotpot]",$201-400,"1/F, Wun Sha Court, 1-5 Wun Sha Street",202,175.0,6.0,4.087308999999999,5607,22.279166601500002,114.19255337700001
Crabtain Restaurant 一番風味,/en/hongkong/r-crabtain-restaurant-wan-chai-guangdong-r504928/reviews,Wan Chai,1022,"[1002, 1001]","[Guangdong, Stir-Fry]",$51-100,"G/F, Ming Fung Building, 138 Wan Chai Road",194,170.0,2.0,4.011340000000001,5632,22.2768853,114.1763457
Chili Party 麻辣派對,/en/hongkong/r-chili-party-causeway-bay-sichuan-r494429/reviews,Causeway Bay,1019,"[1008, 1001]","[Sichuan, Stir-Fry]",$51-100,"Shop R1, 4/F, Island Beverley, 1 Great George Street",165,139.0,3.0,4.029746,5345,22.280509128800002,114.18491542299999
The Drunken Pot 酒鍋,/en/hongkong/r-the-drunken-pot-causeway-bay-guangdong-hot-pot-r512243/reviews,Causeway Bay,1019,"[1002, 1001, 1009, 1036, 1041]","[Guangdong, Hot Pot, Seafood, Dim Sum, Chinese Buns]",$201-400,"27/F, V Point, 18 Tang Lung Street",231,194.0,6.0,3.931553,7512,22.2790162267,114.181551933
Cong Sao Star Dessert 聰嫂星級甜品,/en/hongkong/r-cong-sao-star-dessert-causeway-bay-hong-kong-style-dessert-r112507/reviews,Causeway Bay,1019,"[1004, 1014, 1202]","[Hong Kong Style, Dessert, Sweet Soup]",Below $50,"G/F, 11 Yiu Wa Street",241,169.0,12.0,3.715486,13733,22.277651262600003,114.182045764
Dodam Chicken,/en/hongkong/r-dodam-chicken-causeway-bay-korean-korean-fried-chicken-r516304/reviews,Causeway Bay,1019,"[2001, 1085]","[Korean, Korean Fried Chicken]",$101-200,"18/F., Shop A, Lee Theatre Plaza, 99 Percival Street",257,213.0,10.0,4.0292330000000005,5613,22.278328,114.18314099999999
Kam Kee Cafe 金記冰室,/en/hongkong/r-kam-kee-cafe-wan-chai-hong-kong-style-r449750/reviews,Wan Chai,1022,"[1004, 1009, 1083]","[Hong Kong Style, Tea Restaurant, Food Wise Eateries]",$51-100,"Shop D-E, G/F, Diamond Building, 6-18 Tin Lok Lane",210,173.0,5.0,3.7618089999999995,4998,22.2781996,114.17955800000001
Ming Bistro 名館,/en/hongkong/r-ming-bistro-central-international-dim-sum-r528241/reviews,Central,1003,"[1002, 1036, 1001, 1011, 6000]","[Guangdong, Dim Sum, Stir-Fry, Shanghai, International]",$201-400,"1/F, Lyndhurst Tower, 1-7 Lyndhurst Terrace",140,136.0,1.0,4.222826,4820,22.2824794,114.1546058
